userName,content,score,at,appVersion
Dayat Burhanudin,sangat membantu ketika ada acara...ketika hari besar spt saat ini,5,2025-03-31 01:46:51,5.14.2
Mamo Mamoe,okeh deh,5,2025-03-31 01:40:40,5.14.2
Eman channel,terima kasih,5,2025-03-31 01:33:07,5.14.2
Hasan Mustopa,top,5,2025-03-31 01:31:14,5.14.2
Rocky Gemilang,ok,5,2025-03-31 01:29:27,
Annissa Icha,lebih banyak bonus ...♥️♥️,5,2025-03-31 01:27:16,
Amel Antri,bagus bisa bantu,5,2025-03-31 01:26:19,5.14.2
Andri Yadi,"sistem nya sangat buruk sekali,customer tidak bisa merubah pesanan,apa lg mengcancel,jd menunggu pesanan g tau datang nya, bisa berjam2 tau2 datang",1,2025-03-31 00:41:06,5.14.2
Chikita Oktavia,"jujur ini pertama kali download gojek, dulu masih di hp mama, sekarang pake hp sendiri, gua eksplor sendiri ini aplikasi, asik banget sriuss, tim kreatif nya ga da lawan, pembawaan aplikasi nya beneran seru banget, login aja rasanya kek di ajak mainn sukses terus gojek👍👍",5,2025-03-31 00:38:31,5.14.2
Varel Shadan daut,mantap deh,5,2025-03-31 00:37:09,5.15.1
Su Warni,bagus sekali,5,2025-03-30 23:58:22,5.15.1
Lenny Triasih,karena appny snggt baguss,5,2025-03-30 23:36:22,5.10.1
Aulia khoirunnisa,baikk,5,2025-03-30 23:14:27,5.14.2
Elsan Lesmana,"aplikasi tidak jujur, ada penambahan jarak tempuh tidak sesuai dengan gmaps",1,2025-03-30 22:51:32,5.14.2
moh Dardiri,oke lah,5,2025-03-30 22:40:24,
Putra Aja,bagus,5,2025-03-30 22:13:02,5.10.1
Asep Suhendi,"disaat dibutuhkan gak ada satupun,,",2,2025-03-30 21:36:43,5.14.2
Puri Grahani,"cuma aplikasi GO-JEK yang drivernya gak berani macem-macem.. pengalaman pakai apk lain, drivernya ada yang kesinggung di panggil amang.. sampai berani marah-marah dan cancel, gak. ngerti maunya di panggil apa?? haha...",5,2025-03-30 21:34:45,
Francisko Simanjuntak,Kok gk bisa di instal aplikasih ini tolong perbaiki lebih lanjur,1,2025-03-30 21:16:29,
Wahyu Prihandono,"drivernya ramah,sopan,mobil nya bersih",5,2025-03-30 19:40:39,5.12.1
Alzhar Radenputramadrianah,oke,5,2025-03-30 19:33:35,5.14.2
Desu Desu,"kasi estimasi waktu ,klo memang tidak ad driver , jngan suruh costomer nunggu doang ,tpi makanang gak datang2",1,2025-03-30 18:58:36,4.93.1
Broyoga,perbarui lagi biar keren,5,2025-03-30 18:44:22,
Samson Arif,mantap👌👌,5,2025-03-30 18:42:25,5.15.1
aguz vianzyah,jelek,1,2025-03-30 18:09:19,4.76.2
Muhammad Dudan,saya mau mesan mie gacoan eror Mulu kenapa ya,1,2025-03-30 17:59:20,5.14.2
adi setya,"lebih baik pindah ke shopeefood atau grab, aplikasi sampah mulai gak ada driver, pesanan tidak ada yang mengantar tapi tidak bisa di batalin! estimasi 1 jam tapi 2 jam belum ada jawaban, lapor cs juga gk ada gunanya!",1,2025-03-30 17:51:34,
Roni Wabiya,nukar point' ku sma saldo google play Ndak bisa bisa,5,2025-03-30 17:39:12,
Abdul Kahar,"waktu penjemputan ontime, pemilihan rute pas.",5,2025-03-30 17:26:51,5.14.2
shella oktavelani,"knpa sekrang sistem gofood nya jelek bgt sih. nunggu 2 jam lebih dan ga bisa dibatalain. kalo emng drivernya ga ada ya udah batalin aja. sudah ga lapar baru dpt driver, baru diantar setelah 2 jam an. dan itu berkali"" pesanan",1,2025-03-30 17:23:38,5.14.2
IRWAN AHMAD,"APLIKASI KOCAK! SETIAP KALI LANGGARAN ONGKIR, AKUN JADI BAU GA PERNAH DAPET LAGI VOUCHER MINGGUAN. TAPI GILIRAN GAK LANGGANAN ONGKIR TIAP MINGGU NONGOL VOUCHER MINGGUANNYA. SISTEM KOCAK",1,2025-03-30 17:05:49,5.14.2
Satrio_ Winangun,"aplikasi sangat lemot, tolong jangan lagi tambah2 fitur gak guna, bikin rusak aplikasi",1,2025-03-30 16:44:40,5.14.2
MNur Fauzan,"penyakit entitas gede, controlling makin jelek. pesen gocar sering banget dicancelin terus sama driver, udah nunggu 10 menit malah dicancel drivernya. pake prioritas pun sama aja, tetep dicancelin",1,2025-03-30 16:44:36,5.14.2
Adhikesuma Agung,aplikasi tidak jelas percuma berlanganan gojek plus ongkos kirim mencapai 22ribu jarak 1km.itupun tidak sampai perkiraan saja.menyesal berlanganan,1,2025-03-30 16:39:25,
Walet 999,ok,5,2025-03-30 16:38:02,5.14.2
Marno Parno,Sangat membantu,5,2025-03-30 16:26:00,5.14.2
Robby Indrawan,ok nyman,4,2025-03-30 16:25:58,5.15.1
Rita Ambarwati,"bagus, sangat membantu",5,2025-03-30 16:12:34,5.13.1
Hendra Gumilar,"Abang nya number one, pada malam hari raya tetap semangat...sukses ya Bang 👍👍👍",5,2025-03-30 16:00:32,5.4.1
Titin Suhartini,benar2 membantu...cuma maaf kadang2 lebih mahal dari aplikasi sebelah..tp kadang jg lebih murah,5,2025-03-30 16:00:17,5.14.2
Blue Moon,sangat bagus,4,2025-03-30 15:28:36,
Wulansari Wulansari,gojek andalan☺️,5,2025-03-30 15:21:01,5.14.2
Jabidi Jamaludin Malik,recomended,5,2025-03-30 14:58:45,5.14.2
Mohamad Amin Udin,Nyaman,5,2025-03-30 14:55:43,5.14.2
Aryaguna Halona,semua pesanan lambat,1,2025-03-30 14:52:38,
GGramadan 19,"sedang,kenapa pesan makanan di harga 20k ketika udah pesn jatuh nya 40k pesan yg 16 k +ongkir jadi 52k.ya,allah padahal pesan nasi putih saja.7k tertera harga di klik pesan jadi 30k,tolong admin kondisikan",3,2025-03-30 14:28:00,5.14.2
Bayu Alfinas Suhendi,Gojek bagus lebih banyakin voucher ya klo bisa....,5,2025-03-30 13:57:54,4.53.1
Zaid official,sangat membantu,5,2025-03-30 13:52:32,5.14.2
Yilan Samantha,Plis deh ngapain ngadain customer service kalau keluhan customer ga di respon. Saya udh pilih opsi pada posisi itu memang ga dapet dapet driver saya nunggu lama loh. Smpe saya cht CS yang di bilang malah driver sudah dalam perjalanan menuju resto jelas jelas driver aja ga dapet dapet. Orang nahan laper malah di bikin jadi emosi,1,2025-03-30 13:48:52,5.1.2
"Saiful Dwi Sahri, S.Pd.I","mantap,",5,2025-03-30 13:15:30,5.14.2
Mas Lek,aplikasi hoax. aktifin pinjaman sampai jari kriting gak pernah bisa. hati hati hanya iklan saja,1,2025-03-30 12:51:18,
darfi rumambi,mantaaapppp,5,2025-03-30 12:40:50,5.14.2
nurtri lestari,karyawan nya tolong di tegur lagi. kalau sudah malam jarang ada yang mau terima pesanan. di cancel semua. mending pakai aplikasi sebelah,2,2025-03-30 12:35:10,5.14.2
Sari Dewi,orge baik dan tepat wktu,5,2025-03-30 12:34:09,5.14.2
Safira Nur Fatimah,driver emosian gabisa nyari alamat rumah..padahal driver sebelumnya ga pake drama langsung ketemu..agak lain emg kadang² dpt drivernya...dan banyak yg membisu klo dah dpt orderan.. terutama daerah Bandung dan Jogja.,3,2025-03-30 12:27:58,5.14.2
Agung Proneto,oke,5,2025-03-30 12:17:39,5.14.2
Sastra Wiguna,"drivernya pada gak mau ambil orderan semua, selalu dibatalin",1,2025-03-30 12:13:32,
myulykrist,"ini aplikasi gaje, tiba² ada tagihan lain yg sy tdk merasa pinjam, admin ini gimana",1,2025-03-30 12:09:53,5.7.2
Khaerudin Khoerudin,tolong. dong. aplikator. gojek. masa. kasih THR cuam. gocap aku. sih. peihatin. sebagai Plalangan,1,2025-03-30 11:45:21,5.14.2
Fredi. kgtg c ccvifgkc55y5ģģ,aplikasi nya udah oke cuman keberuntungan aja buat nemu driver bagus nya,5,2025-03-30 11:40:59,5.14.2
vita rius,menyenangkan,5,2025-03-30 11:32:25,5.14.2
Selvi Lia,pay later,5,2025-03-30 11:27:41,5.14.2
Frengki Taduminggir,"mu nyari murah setelah beliin paket gojek plus ,lho setelah mu mesen makanan jadinya sangat mahal ,,, cuma mu nipu pelanggan ini atau apa????",1,2025-03-30 11:26:36,5.14.2
Fahmi,hari ini kecewa sm driver gosend a.n iwan haryadi (mitra palembang) ygga respon chat sama sekali ±1 jam,1,2025-03-30 11:22:57,5.12.1
Sri Yuliarti,"Terima kasih,semua jadi lebih mudah, sekarang diskon berkurang, walaupun sudah cod harga tetap mahal, sering 2x lipat dari harga normal walaupun sudah diskon",5,2025-03-30 11:21:35,5.14.2
Dizzy,"terhadap yth. pihak gojek kenapa harus CANCEL makanan saya ketika 10menit mau adzan magrib? alasannya kesalahan sistem, benar² kenapa harus hari terakhir puasa? 29hari sebelum nya aman aman saja, saya tidak terlalu mempermasalahkan cancel makanan saya jika masih 30-40menit sebelum adzan, saya sedikit kecewa terhadap gojek pada kali ini, ntah apa yg harus saya kasih untuk berbuka puasa keluarga saya jikalau makanan saya dicancel begitu saya dgn alasan ""kesalahan sistem"", pdhl sdh diproses 20mnt+",1,2025-03-30 10:57:09,5.14.2
Khiyaratun Nadhifa,"bye gojek, gue pindah ke grab. Di apk lain mau hari apapun ga ada penambahan biaya dan ya walau nambah biaya gue dah tetap coba nyari driver pda tetap gamau, pdhl loh sdh gue tambahin!! hujan dikit driver nya malas gerak!! pada mager kah? driver nya masih banyak yg menye-menye pda pemilih. Sedangkan grab ga sampe semenit udh dpt pdhl lgi lebaran, hujan juga pda cepet nyamperin..sistem nya lebih baik! jdi tolong di perbaiki lgi sistemnya..berlakukan kek grab yg klo lama jemput uang nya berkurang",1,2025-03-30 10:54:08,5.14.2
Aty Ode,terimakasih,5,2025-03-30 10:44:52,5.14.2
NC Part,top up via dana potong sana potong sini ya doble motong nya,4,2025-03-30 10:44:37,5.15.1
YunadA Yuliantari,"gofoodnya bener"" ngak bagus banget, udah lama nunggu dpt driver ujung""nya di cancel. mending pake shopeefood aja cepet dan lebih murah",3,2025-03-30 10:41:53,5.15.1
Indra Pamungkas,driver nya biasakan bawa uang kmbalian saya udh hampir 10 kali nga ngmbil kmbalian klo seribu 2 ribu ngpp ini 25 ribu,1,2025-03-30 10:37:20,5.14.2
Aqiela Meisca,"gojek suka aneh, saya pesan makanan udh di acc 1 jam saya rela nunggu pas sdh buka puasa blm dateng juga pas sdh selesai disiapkan malah tulisannya driver lg pd sibuk dan disuruh pesan lg, mohon hal"" seperti ini ditangani dengan baik kami ini pesan makan buat makan lo 1 jam menunggu malah akhirnya tetap disuruh pesan ulang kalau memang tidak bisa di beri tau lebih awal drpd seperti ini",1,2025-03-30 10:36:24,5.14.2
Nur Sopiatul Janbi,bagus tepat waktu dan sopan,5,2025-03-30 10:35:54,5.14.2
Mellina Setiawan,"estimasi makanan datang 16-26 menit sudah tertulis dari jam 16.53 tapi pas dilihat jam 17.01 estimasi berubah 19-29 menit. bahkan sampai 25 menit lewat pun estimasinya tetap segitu. dibatalkan tidak bisa, pusat bantuan sama sekali gak berfungsi, bahkan baru saja memulai laporan sudah ditutup. saya gak buta buat gak lihat kalau proses pesanan saya tidak jalan. driver juga suka seenaknya, gak konfirmasi apapun tapi gak jalan bahkan sampai lewat 10 menit.",1,2025-03-30 10:30:03,5.7.2
Suryani Ginting,"banyak voucher diskon, driver selalu dapat yg amanah. oke banget, makasi Gojek dan para drivernya..",5,2025-03-30 10:25:52,5.14.2
Bintang Anugerah,"nyari driver lama banget, trus mau dibatalin karena mau nyoba app lain gabisa padahal udah 2 jam. buang buang waktu banget",1,2025-03-30 10:20:52,5.15.1
Usia EmpatPuluh,keren,5,2025-03-30 10:14:40,
Chepi Rizki Nugraha,gada driver lama nyari nya,1,2025-03-30 10:13:40,5.14.2
Fira Inriani,"Males, dapet driver yg jauh mulu, mana lama banget, padahal banyak driver di sekitar yg deket². Gue ga pernah cancel, selalu ngasih rating 5 + tips gede, tapi tetep aja jauh² dapet drivernya (mana lama banget baru dapet) mending pake grab atau maxim.",1,2025-03-30 10:12:09,
samuel pangaribuan,"Tidak ada pembaruan malah tambah parah sering hold pelanggan yang murah padahal di terima saya kecewa sama gojek driver tidak kualifikasi, Skrang Malah sering cancel pelanggan padahal sudah pake prioritas. minta tolong agar gojek melakukan pengecekan lebih lanjut Cust kecewa lama-lama malas pake gojek",1,2025-03-30 10:09:05,5.14.2
Mu'ammar Athaullah,"untuk fitur Gocar cuma ramah buat wilayah Kota Jakarta doang, nyoba pesen di daerah kabupaten, beuh 2 jam baru dapet driver",2,2025-03-30 10:07:50,5.14.2
R9 PROJECT,banyak promo,5,2025-03-30 09:58:03,
Antonia Aganesti Bihung,tidak pernah turun harga Tambah gojeknya lama datang gak sesuai waktu,1,2025-03-30 09:55:06,
Mr. Amir,udh dpt driver tinggal nunggu malah dibatalin karena hujan. padahal hujannya baru gerimis doang. tolong kebijakannya kalo yg udh ambil orderan GK bisa di batalin gt atau kasih sanksi kalo udh ambil trus batalin semua drivernya takut air ya atau gman??,1,2025-03-30 09:47:25,5.14.2
Mawaddah,"overall bagus, tapi kadang malah nyusahin. pesan gofood sudah setengah jam lebih tidak dapat driver, mau dibatalkan tidak bisa. chat cs katanya driver sudah dalam perjalanan ke resto, sudah sampai di resto, atau sudah dalam perjalanan menuju alamat padahal jelas jelas sejak laporan saya ditolak 10 menit berlalu masih belum dapat driver. ini sangat merugikan padahal saya perlu cepat untuk buka puasa sekeluarga di rumah.",3,2025-03-30 09:47:09,
Hery Dwi Putranto,mantap,5,2025-03-30 09:44:30,5.15.1
syarif nas,Tepat waktu,5,2025-03-30 09:41:30,5.15.1
Si Bollang,keren......,5,2025-03-30 09:39:15,5.14.2
Hapniah Amirhasan,"Driver yang unfriendly, please suspend driver dg nomor KT 4279 CAH",2,2025-03-30 09:26:28,5.14.2
aji f. Saddam,👍🏻👍🏻👍🏻,5,2025-03-30 09:21:15,
Syafiq Almair,so far so good. ksh banyak promo diskon biar lbj menarik.,4,2025-03-30 09:20:23,
Zamzami Rahman,mantap full swnyum,5,2025-03-30 09:20:04,5.14.2
heni sukma,bagus,5,2025-03-30 09:16:27,5.15.1
Juan. Anes,keren,5,2025-03-30 09:14:36,5.14.2
Ryfaldi Baringbing,pelayanan dan promo cukup oke,5,2025-03-30 09:09:03,5.13.1
Suro So,"cepat ramah, aman dan sopan",5,2025-03-30 09:03:23,5.14.2
Ahmad Firdaus,tepat cepat,5,2025-03-30 08:58:52,4.92.1
Sulaiman Hadi,gajelas tiba2 promo nya hilang udah berapa kali pemesanan,1,2025-03-30 08:48:30,5.15.1
Devid Kurniawan,"good, memudahkan",5,2025-03-30 08:46:57,5.15.1
Muhammad Nahidbuldani,"tolong dong fitur untuk menghubungi pihak resto ketika sudah memesan dibuka,agar kita bisa komunikasi dengan pihak restonya.",2,2025-03-30 08:44:10,5.14.2
intan nadira,"Sebenernya suka pakai gojek, cm bbrp kali pernah pesen gofood udh nunggu 1 jam lebih tpi tbtb dibatalin dari resto, dan hal sebelnya lainnya kita ga bisa batalin atau chat resto jadi cuma nunggu antara dianter atau engga, pdhl udh laper bgt tbtb di cancel. Mungkin next bisa diperbaiki lagi sistemnya.",3,2025-03-30 08:44:07,5.14.2
Iin Suryati,alhamdulillah,5,2025-03-30 08:36:30,5.3.1
Budi Farra,cukup,3,2025-03-30 08:36:14,5.15.1
Angga Pratama,"Gopaylater berisik banget, H-2 jatuh tempo SPAM TELPON, kayak orang nunggak aja,",1,2025-03-30 08:35:56,5.14.2
EKA KARYA MOTOR,gercep,5,2025-03-30 08:30:08,
Felina,"ini gmn ya, goride hemat nya emang gak ada apa gmn yaa, jdi kurang worth it tarif nya karna mahal banget, jdi gak wort it buat PP kuliah nih",3,2025-03-30 08:27:32,
wayan dita,"mantap, diskonnya mantap",5,2025-03-30 08:22:27,
Indra Woyowoyola,"aneh app ini, di buat nge cek harga kuq tiba2 lgsg masuk orderan. makin lama makin gak bagus.",2,2025-03-30 08:11:43,5.14.2
Nety Puryanti,"bagus saya suka, tapi sayangnya sekarang semakin mahal baik ongkos untuk gojek maupun gofood..ditambah lagi suka ada parkir. harusnya pihak aplikasi kerjasama sama pihak pihak terkait untuk membebaskan driver gofood dari parkir, toh parkir ngambil makanan itu ga sampai 1jam.",5,2025-03-30 07:57:11,
Sutarma Tarma,pelayanan ramah dan membantu,5,2025-03-30 07:56:06,5.14.2
Nadya Qarratuainalghani,driver sering milih pickup dan gosend nya juga susah dapet driver,1,2025-03-30 07:47:25,
Ufi Lestari,Baik,5,2025-03-30 07:33:46,5.7.2
nugraha alariq,ok,5,2025-03-30 07:30:03,5.14.2
Arry Soeyanto wg,terimakasih atas pelayanan yang diberikan,5,2025-03-30 07:23:16,5.14.2
raisa alaika,kok ga kesinstal si,4,2025-03-30 07:18:45,5.14.2
yuli setioko,Dengarkanlah keluh kesah drivermu...mereka juga punya keluarga sama sepertimu...cam kan itu....bayangkan bila engkau diposisi mereka...satu lagi tambah ruwettt apk mu,1,2025-03-30 07:17:30,5.10.1
aa kaos,"mantaps, cepet banget sampe nya",5,2025-03-30 07:11:47,
Kardi Manurung,mantap,5,2025-03-30 07:10:20,5.14.2
yogi purnanda,"lambat susah dapat driver apalagi kalo pagi,,apl jelek deh pokoknya",1,2025-03-30 07:01:36,5.8.1
pratama suharyadi,aplikasinya bagus,5,2025-03-30 06:58:39,5.15.1
papap official,Good pokok na,5,2025-03-30 06:57:54,5.15.1
Muliya Liya,udah langganan banget soalnya lebih nyaman adja sprti kekeluargaan ramah² drivernya,5,2025-03-30 06:46:55,5.15.1
Arsipan Kenangan,Makin mahal tarif gojeknya,1,2025-03-30 06:29:01,
Ridwan Lau,i like it,5,2025-03-30 06:24:32,5.15.1
dwipayana,bagus,5,2025-03-30 06:18:03,
Uly Primagama,klo bisa bintang nol sy ksih bintang nol,1,2025-03-30 06:16:31,5.15.1
agung suryonost,tolong coustmer cek berapa argo yg di driver biar tahu. coustmer bayar 10.800 di driver cuma 5000 ini gojek di masukan SLOT ATAU ACENG apalagi kalau argo besar di driver cuma 6000 . ternyata cuma hukum ALLAH SWT yg mwnyadarkan,1,2025-03-30 06:16:05,4.82.1
Santi Farida,alhamdulillah selalu bertemu driver yang baik dan sopan,5,2025-03-30 05:55:46,5.14.2
fahadraffa fahadraffa,"Padahal saya Penguna Gojek Bertahun2 , Gopaylater Saya Di Blokir, Gopay Pinjam Saya Ditolak Terus, padahal Saya Tidak ada History Telat Bayar Atau Gagal Bayar,Mending Limit saya di Buat NOL saja daripada ada limit tapi tidak bisa digunakan, gojek👎 Findaya👎",1,2025-03-30 05:49:17,
Rezel Rafqi,ok baik,3,2025-03-30 05:45:40,5.14.2
Putra Juddin,cepat,5,2025-03-30 05:41:27,5.14.2
Narti Inyol,sangat membahagiakan,5,2025-03-30 05:35:02,
didik diandra,makin kece,5,2025-03-30 05:32:59,5.14.2
rafly adi,"untuk masuk aplikasi sih gk ada kendala jaringan lancar, tapi pas masuk ke go food atau yang lain itu kenapa tiba"" gangguan jaringan padahal lancar lo pas buka aplikasi lain,jaringan hp saya lancar aja padahal cuma gangguan di aplikasinya pas mau pesan makan atau transportasi",2,2025-03-30 05:30:35,
All Mikroji,mantap,5,2025-03-30 05:29:26,5.14.2
heri Anggara,top,5,2025-03-30 05:25:14,
Hardi Mansyah,Sangat bantu sekali dan memudah kan,5,2025-03-30 05:24:47,5.14.2
dhita ramadhani,Saya sangat sulit memberikan rating. Alhasil saya jadi susah untuk melakukan order selanjutnya,5,2025-03-30 05:15:51,5.15.1
Zulianus Mendrofa,aplikasi sering error,1,2025-03-30 05:02:07,5.14.2
vira29631,ok,5,2025-03-30 04:55:39,5.15.1
honda revo,mantap,5,2025-03-30 04:48:36,5.14.2
pradipta adiyasa,ok,5,2025-03-30 04:25:06,5.15.1
Hermansyah Nasution,mantap,5,2025-03-30 04:23:01,5.14.2
Yonatan Novianto,terima kasih gojek... gojek sangat membantu saya dalam transportasi,5,2025-03-30 04:16:26,4.96.2
Wawan Gagah,muantapppp tenannnn....🙏🙏🙏,5,2025-03-30 04:16:11,
aditya prdn,Aneh gak pernah ada tunggakan tapi akses di blokir,1,2025-03-30 04:04:04,5.14.2
Bharat,bagus cuma aku masih bocil jadi tidak tau cara menggunakan nya sedikit tau nya hehehe,5,2025-03-30 03:54:42,
lika marhsya,dari sekian aplikasi drive online ini yg paling lama nunggunya + mehong 😑,2,2025-03-30 03:23:02,
Muhammad Faqihudin,mantap lah sejauh ini,5,2025-03-30 03:21:52,5.15.1
Baba Nusa,"ok,",5,2025-03-30 03:17:43,5.15.1
Matuari Jenfri,mantap sekali...,5,2025-03-30 03:15:37,
Ps2 izijatim,mantaf,5,2025-03-30 03:14:51,5.15.1
Samsul Sansudin,menangani masalah lambat,1,2025-03-30 03:13:24,
Bunga Istiqoma,sangat bermanfaat,5,2025-03-30 03:09:55,5.14.2
Nana Zerllyana2007,hp saya ketinggalan di mobil dan saya belum mendapatkannya kembali padahal saya sudah chat customer service,1,2025-03-30 02:42:23,5.14.2
Lia Amalia,pengiriman sat set n dpt Promo pulaaa,5,2025-03-30 02:41:48,5.14.2
Melkyzedeck Nunuela,tepat waktu penjemputan sopan & ramah tidak ceroboh sebagai driver,5,2025-03-30 02:37:03,5.14.2
Tina Agustina,terima kasih pak sangat terbantu da tepat waktu.,5,2025-03-30 02:35:59,5.15.1
KAMAL JULENG,cepat,5,2025-03-30 02:33:26,5.14.2
m rohmat,Sangat membantu mohon aplikasi ditingkatkan,5,2025-03-30 02:01:28,5.14.2
RIDHO Kencana,aplikasi buruk gua beli token listrik aja malah di rejek g guna banget aplikasi ini,1,2025-03-30 01:57:56,5.15.1
Eko Budi h,sangat bermanfaat,5,2025-03-30 01:49:20,5.15.1
Sammy,"gopaylater di blokir, pas di upgrade gopay plus, padahal sudah 5tahun pake gak pernah telat bayar,, tapi ternyata di blokir dan dibatasi. difollow up tdak ada pnyelesaian. btw jadi sudah saya lunaskan semua ya, dan maaf sy hapus appnya krna sdh tidak benefit dan mnguntungkan buat saya, terima kasih selama ini, bye.",1,2025-03-30 01:47:40,5.14.2
Zaman Modern,ok. mudah dan hemat. praktis. suka dg driver yg sopan dan wangi,5,2025-03-30 01:46:01,5.14.2
Anis Islamiyah,ok,4,2025-03-30 01:34:46,5.13.1
Adi suryana,bagusss,5,2025-03-30 01:32:51,5.15.1
JOHAN JERA,Terbaik,5,2025-03-30 01:32:49,4.91.1
May Noverita Indarti,sy sulit membuka gojek ndak bs bs,1,2025-03-30 01:24:38,
FaisalErere 28,mantap,5,2025-03-30 01:22:54,5.14.2
wawan soekamti,sangat membantu kita saat akan bepergian,4,2025-03-30 01:12:00,5.14.2
Dhehe Jwje,bukan aplikasinya yang gw kecewain tapi drivernya pesen makan driver pada batalin padahal lagi lapar banget untuk terakhir kalinya pakai gojek,1,2025-03-30 01:03:25,5.14.2
Baiq Hijratun Hasanah,"bunga nya dari pinjaman kok semakin sering pakai spaypinjam semakin naik & mahal ya? pakai sampai berjuta-juta, ini permainan admin nya atau emang dari gojek nya ya? wahay para pengguna user gojek yg lain, apakah kalian merasakan hal yang sama dengan saya? share grup n medsos lain nya juga",2,2025-03-30 00:37:39,5.14.2
Ahmad Malik,bagus,5,2025-03-30 00:20:45,5.14.2
Maryati Noer,oke bangett,5,2025-03-30 00:06:49,5.13.1
Pengguna Google,"Keren inovatif, klo bsa lebih d tingkatkan lagi fitur nya, suks selalu Go Jek okk",5,2025-03-29 23:42:08,5.14.2
Nasri Kurniawan,Mantap,5,2025-03-29 23:35:53,5.14.2
Dinut Dinut,mantap💪💪💪,5,2025-03-29 23:29:55,5.10.1
agus malik,semoga selalu terjaga dgn pelayanan yg selama ini sudah baik dan kedepannya mencapai kesuksesan yg sesuai harapan aamiin 🤲,5,2025-03-29 22:28:55,5.15.1
Gusti Rizani,Mantap deh pokoknya,5,2025-03-29 21:51:44,5.15.1
Rini Yusnita,"senang ketika order langsung mendapatkan driver, apa lgi drivernya ramah.",5,2025-03-29 21:51:15,5.15.1
Restu Yoni Cahaya,sangat membantu jadi solusi pilihan perjalanan,5,2025-03-29 21:36:49,
So'day,"mantap, baik dipergunakannya",5,2025-03-29 21:29:25,5.14.2
sabar,"ikhlaskan semua, biar Alloh yang urus.....",5,2025-03-29 21:29:04,5.14.2
Tia tiwi,sangat baik,5,2025-03-29 21:15:53,5.14.2
metimartia ningsih,"aplikasi nya lemot, selalu loading..",1,2025-03-29 21:13:04,
amerullah amerullah,"payah banget apk yg baru ini. waktunya lama banget, 1jam setengah nungguin gak ada info. mau dibatalin gak bisa, komplain malah bot yg jawab. sampai gak bisa sahur nungguin gojek 😭 parahhhhh. tolong lah diperbaikin apk nya, jangan juga merugikan pelanggan seperti ini. mau ganti resto pilihannya setelah imsak, gimana kita mau sahur 😭",1,2025-03-29 21:11:22,
Muhammad Raihan,ok,5,2025-03-29 21:05:36,5.14.2
Misliyah Putri,trbaik nahh,5,2025-03-29 20:46:55,5.14.2
Shandy Ooy,tepat dan aman,5,2025-03-29 20:27:22,5.14.2
Balsjs,ok,5,2025-03-29 20:00:18,
Naura dan Bunda El,banyak promo.. mantap sekali..,5,2025-03-29 19:50:37,5.15.1
muhammad wildanmaulidan,keren,5,2025-03-29 19:31:12,5.15.1
Tomi Abdulrahman,membantu untuk perjalana,5,2025-03-29 19:23:34,
Azizah Zah,aplikasi gblk ga guna.. mau daftar aja ribet bnget.. cmn 2 kali gagal masukin email.. malah disuruh nunggu,1,2025-03-29 19:18:34,
Juwita Ita,baik ramah,4,2025-03-29 19:05:21,5.14.2
Herlina Kwantoro,pelayanan bagus,5,2025-03-29 18:46:21,5.15.1
Kinza Nur Alham,"lama dpt driver, g bisa dicancel lagi asu",1,2025-03-29 17:55:33,5.15.1
Muhammad ridwan hadi Edot scoot,"Udahlah... Udah sering kLi pesen di goodfood, Tapi blm bisa dapet driver sma smakali sampai jak ,12 mlm",1,2025-03-29 17:50:11,5.13.1
Fatmiwati Fatmi,klo bisa tambah bnyk lgi disconnya..heeee🙏,5,2025-03-29 17:27:42,5.15.1
Unung Wahyudin,Baik,5,2025-03-29 17:19:29,
Akhyar,"belakangan driver gofood jadi males ambil orderan, sudah dapet driver tapi di chat ngga ada balasan dan ga diambil juga makanannya akhirnya estimasi waktu jadi molor karena ganti drivernya lama kalo bisa tambahin report buat driver biar customer bisa ganti driver dengan cepat ga nunggu driver males",3,2025-03-29 17:12:25,5.15.1
Tommy Djwell,banyak membantu,5,2025-03-29 17:06:21,
sindybella situmorang,senang berlangganan,5,2025-03-29 16:58:26,5.14.2
Baim Hermawan,gak bisa di download,1,2025-03-29 16:51:30,5.14.2
Linda Sapitri,"tolong perbaiki sistemnya ,,, tolong jangan jauh jauh dapat drivernya ,,, apalagi waktu turun hujan dan kondisi jalanan macet ,,, saya males pesennya dan drivernya juga terkadang tidak bisa ambil orderan dalam kondisi begitu ,,, masa saya harus pakai aplikasi lain ... boleh y ,,, terima kasih 🙏",3,2025-03-29 16:45:15,5.14.2
Lukman Hakim,lama bgt pesen pake gofood!!!!,1,2025-03-29 16:19:38,5.14.2
Marisha Nikovia,"Belakangan ini sering di prank resto dan driver. Masa resto tutup tapi di aplikasi buka, sampe 3x ganti driver. Mana nunggu 1 jam lebih gaada kompensasi apapun. Sistemnya jadi lambat juga. Kalo kyk gini bikin males pake aplikasi ini. trs samsek gaada promo+banyak bgt biaya admin",1,2025-03-29 16:18:23,5.15.1
Reni Ratnawati,TERIMAKASIH,3,2025-03-29 16:11:19,5.14.2
khaira,cinta gojek baangettt😭😭😭😭😭😭♥️♥️♥️♥️,5,2025-03-29 15:14:01,
Lina Geboy,membantu,5,2025-03-29 15:07:29,5.15.1
Trifena,"agak kecewa stiap mesan mkanan alasannya lmbt 25 menit trs di batalin,tolong di perbaiki lgi",1,2025-03-29 15:00:11,5.14.2
